"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.830795407E0,7.450000286E0,2.768750000E1,4.066250229E1
3.840867855E0,7.599999905E0,2.753750038E1,4.048749924E1
3.850941762E0,8.037500381E0,2.768750000E1,4.018750000E1
3.861012907E0,8.462500572E0,2.842500114E1,4.006250000E1
3.871087282E0,8.762499809E0,2.812500000E1,3.958750153E1
3.881163793E0,8.762499809E0,2.783749962E1,3.973749924E1
3.891240876E0,8.612500191E0,2.797500038E1,3.988750076E1
3.901320251E0,8.312500000E0,2.827499962E1,3.943750000E1
3.911397803E0,8.462500572E0,2.872500038E1,3.928750229E1
3.921476084E0,8.912500381E0,2.842500114E1,3.958750153E1
3.931555616E0,8.037500381E0,2.842500114E1,3.991250229E1
3.941630251E0,7.000000000E0,2.903750038E1,3.912500000E1
3.951703637E0,7.000000000E0,2.873750114E1,3.927500153E1
3.961780928E0,7.437500000E0,2.843750000E1,3.988750076E1
3.971858116E0,7.587500095E0,2.887500000E1,3.928750229E1
3.981934939E0,6.550000191E0,2.903750038E1,3.882500076E1
3.992010043E0,6.125000000E0,2.933749962E1,3.897500229E1
4.002085459E0,6.099999905E0,3.007500076E1,3.883750153E1
4.012165303E0,5.675000191E0,2.992500114E1,3.943750000E1
4.022238064E0,5.974999905E0,2.948750114E1,3.991250229E1
4.032309262E0,6.250000000E0,2.933749962E1,3.958750153E1
4.042384105E0,5.825000286E0,2.888750076E1,3.973749924E1
4.052457387E0,5.525000095E0,2.918750000E1,3.958750153E1
4.062533480E0,5.375000000E0,2.978750038E1,3.928750229E1
4.072609366E0,5.075000286E0,3.052499962E1,3.913750076E1
4.082686449E0,5.525000095E0,3.037500000E1,3.898749924E1
4.092764105E0,4.787499905E0,3.008749962E1,3.820000076E1
4.102834470E0,4.062500000E0,3.053750038E1,3.743750000E1
4.112911241E0,4.487500191E0,3.083749962E1,3.698749924E1
4.122986657E0,4.337500095E0,3.142500114E1,3.606250000E1
4.133060512E0,3.762500048E0,3.202500153E1,3.560000229E1
4.143131866E0,3.012500048E0,3.232500076E1,3.545000076E1
4.153208532E0,2.862499952E0,3.262500000E1,3.529999924E1
4.163282230E0,2.862499952E0,3.292499924E1,3.500000000E1
4.173359053E0,2.862499952E0,3.307500076E1,3.406250000E1
4.183437022E0,2.862499952E0,3.350000000E1,3.407500076E1
4.193517595E0,2.712500095E0,3.395000076E1,3.470000076E1
4.203597751E0,2.562500000E0,3.440000153E1,3.362500000E1
4.213674105E0,2.562500000E0,3.440000153E1,3.268750000E1
4.223747699E0,2.862499952E0,3.410000229E1,3.316250229E1
4.233823220E0,2.424999952E0,3.397500229E1,3.237500000E1
4.243899314E0,2.275000095E0,3.382500076E1,3.207500076E1
4.253976918E0,1.825000048E0,3.485000229E1,3.223749924E1
4.264051032E0,1.675000072E0,3.515000153E1,3.238750076E1
